season,rank,name,short_name,matchesplayed,matcheswon,matcheslost,noresult,matchpoints,nrr,for,against,runs_for,overs_for,runs_against,overs_against
2012,5,RCB,RCB,16,8,7,1,17,-0.022,2472/296.2,2505/299.3,2472.0,296.2,2505.0,299.3
2012,6,Kings XI Punjab,KXIP,16,8,8,0,16,-0.216,2390/313.3,2455/313.1,2390.0,313.3,2455.0,313.1
2012,7,RR,RR,16,7,9,0,14,0.201,2516/316.0,2402/309.3,2516.0,316.0,2402.0,309.3
2012,8,Deccan Chargers,SRH,16,4,11,1,9,-0.509,2312/298.4,2405/291.3,2312.0,298.4,2405.0,291.3
2012,9,Pune Warriors,PWI,16,4,12,0,8,-0.551,2321/319.2,2424/310.0,2321.0,319.2,2424.0,310.0
2011,1,RCB,RCB,14,9,4,1,19,0.326,1962/237.0,2000/251.3,1962.0,237.0,2000.0,251.3
2011,2,CSK,CSK,14,9,5,0,18,0.443,2118/265.1,1978/262.1,2118.0,265.1,1978.0,262.1
2011,3,MI,MI,14,9,5,0,18,0.04,1998/275.2,1951/270.2,1998.0,275.2,1951.0,270.2
2011,4,KKR,KKR,14,8,6,0,16,0.433,1888/249.2,1861/260.4,1888.0,249.2,1861.0,260.4
2011,5,Kings XI Punjab,KXIP,14,7,7,0,14,-0.051,2224/275.4,2173/267.4,2224.0,275.4,2173.0,267.4
2011,6,RR,RR,14,6,7,1,13,-0.691,1687/242.2,1801/235.2,1687.0,242.2,1801.0,235.2
2011,7,Deccan Chargers,SRH,14,6,8,0,12,0.222,2140/279.2,2037/273.5,2140.0,279.2,2037.0,273.5
2011,8,Kochi Tuskers Kerala,Kochi,14,6,8,0,12,-0.214,1901/256.2,1989/260.4,1901.0,256.2,1989.0,260.4
2011,9,Pune Warriors,PWI,14,4,9,1,9,-0.134,1775/247.3,1858/254.2,1775.0,247.3,1858.0,254.2
2011,10,DC,DC,14,4,9,1,9,-0.448,2031/258.2,2076/249.5,2031.0,258.2,2076.0,249.5
2010,1,MI,MI,14,10,4,0,20,1.084,2408/277.0,2100/276.0,2408.0,277.0,2100.0,276.0
2010,2,Deccan Chargers,SRH,14,8,6,0,16,-0.297,2188/277.4,2254/275.4,2188.0,277.4,2254.0,275.4
2010,3,CSK,CSK,14,7,7,0,14,0.274,2285/271.1,2257/276.5,2285.0,271.1,2257.0,276.5
2010,4,RCB,RCB,14,7,7,0,14,0.219,2166/260.4,2245/277.3,2166.0,260.4,2245.0,277.3
2010,5,DC,DC,14,7,7,0,14,0.021,2155/275.4,2166/277.5,2155.0,275.4,2166.0,277.5
